ui/src/app/components/defender/configuration/manual-ddos-classification/ratio-rulesets/ratio-rulesets-modal.jsx,,Dialog.Body (now DialogContent),,,,,,
,,Dialog.Footer (now DialogActions),,,,,,
ui/src/app/components/defender/configuration/manual-ddos-classification/rules/form-items/cloud-genome-allowlist-checkbox.jsx,,CheckboxField (now FormControlLabel & Checkbox),,,,,,
ui/src/app/components/defender/configuration/manual-ddos-classification/rules/form-items/port.jsx,,DropdownMenu.Item (now MenuItem),,,,,,
,,Typography,,,,,,
ui/src/app/components/defender/configuration/manual-ddos-classification/rules/form-items/tcp_flags.jsx,,"CheckboxField (now FormControl, FormControlLabel & Checkbox)",,,,,,
,,DropdownMenu.Item (now MenuItem),,,,,,
ui/src/app/components/defender/configuration/manual-ddos-classification/rules/rule-form.jsx,,Box,,,,,Use theme.palette.grey[xxx],
,,theme (now grey),,,,,,
,,Typography,,,,,,
ui/src/app/components/defender/configuration/manual-ddos-classification/rules/rule-modal.jsx,,Dialog.Body (now DialogContent),,,,,,
,,Dialog.Footer (now DialogActions),,,,,,
ui/src/app/components/defender/configuration/manual-ddos-classification/rules/rules-display.jsx,,DeleteIcon,,,,,,
,,EditIcon,,,,,,
,,FileCopyIcon (now DuplicateIcon),,,,,,
,,VisibilityIcon (now EyeIcon),,,,,,
ui/src/app/components/defender/configuration/manual-ddos-classification/shared/form-items/description.jsx,-,,,-,,,,
ui/src/app/components/defender/configuration/manual-ddos-classification/shared/form-items/name.jsx,-,,,-,,,,
ui/src/app/components/defender/configuration/manual-ddos-classification/shared/form-items/threshold-selection.jsx,,,,,Grid,,,
ui/src/app/components/defender/configuration/manual-ddos-classification/shared/delete-confirmation-modal.jsx,-,,,-,,,,
ui/src/app/components/defender/configuration/manual-ddos-classification/shared/rule-select.jsx,-,,,-,,,,
ui/src/app/components/defender/configuration/manual-ddos-classification/threshold-rulesets/threshold-ruleset-form.jsx,,CheckboxField (now FormControlLabel and Checkbox),,,,,,
,,Dialog.Body (now DialogContent),,,,,,
,,Dialog.Footer (now DialogActions),,,,,,
ui/src/app/components/defender/configuration/manual-ddos-classification/threshold-rulesets/threshold-rulesets-display.jsx,,DeleteIcon,,,,,,
,,EditIcon,,,,,,
,,VisibilityIcon (now EyeIcon),,,,,,
ui/src/app/components/defender/configuration/manual-ddos-classification/manual-ddos-classification-page.jsx,-,,,-,,,,
ui/src/app/components/defender/configuration/mitigation-templates/form-components/auto-mitigation-description.jsx,,,,,Grid,,,
ui/src/app/components/defender/configuration/mitigation-templates/form-components/connectors-dropdown.jsx,-,,,-,,,,
ui/src/app/components/defender/configuration/mitigation-templates/mssp-access/all-organizations-toggle.tsx,,Box,,,,,,
ui/src/app/components/defender/configuration/mitigation-templates/mssp-access/empty-state.tsx,,theme (now grey),,,withStyles,,Use theme.palette.grey[xxx],
,,Typography,,,,,,
ui/src/app/components/defender/configuration/mitigation-templates/mssp-access/form-actions.tsx,,Box,,,,,,
ui/src/app/components/defender/configuration/mitigation-templates/mssp-access/mssp-access-form.tsx,,Box,,,,,,
,,Dialog.Body (now DialogContent),,,,,,
,,Typography,,,,,,
ui/src/app/components/defender/configuration/mitigation-templates/mssp-access/mssp-organizations-table.tsx,,Box,,,,,,
,,OpenInNewIcon,,,,,,
ui/src/app/components/defender/configuration/mitigation-templates/mssp-access/selected-count.tsx,,Typography,,,,,,
ui/src/app/components/defender/configuration/mitigation-templates/mitigation-template-list-page.jsx,,Box,,,,,,
,,Typography,,,,,,
ui/src/app/components/defender/configuration/mitigation-templates/template-actions-menu.tsx,,DeleteIcon,,,withStyles,,,
,,"DropdownMenu.Root (now ClickAwayListener, MenuList, Paper & Popper)",,,LockOpen (now LockOpenIcon),,,
,,DropdownMenu.Item (now MenuItem & ListItemIcon),,,,,,
,,EditIcon,,,,,,
,,MoreVerticalIcon (now MoreVertIcon),,,,,,
,,Typography,,,,,,
ui/src/app/components/defender/configuration/mitigation-templates/validated-simple-menu.jsx,,DropdownMenu.Item,,,ArrowDropDown (now ArrowDropDownIcon),,,
,,,,,InputAdornment,,,
ui/src/app/components/defender/configuration/policy-thresholds/policy-threshold-actions.jsx,,DeleteIcon,,,,,,
,,EditIcon,,,,,,
,,IconButton,,,,,,
,,SwitchField (now Switch),,,,,,
ui/src/app/components/defender/configuration/policy-thresholds/policy-threshold-expand-button.jsx,,IconButton,,,KeyboardArrowDown (now KeyboardArrowDownIcon),,,
ui/src/app/components/defender/configuration/policy-thresholds/policy-threshold-list.jsx,,Typography,,,,,,
ui/src/app/components/defender/configuration/policy-thresholds/policy-threshold-list-item.jsx,,theme (now grey),,,Collapse (now MuiCollapse),,Use theme.palette.grey[xxx],
,,,,,ErrorOutline (now ErrorOutlineIcon),,,
